artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
"Tyler, The Creator",Tamale - Instrumental,72OgjLqn9qG0A9XkfGwGrt,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,28,False,0.789,0.998,B,-7.684,Minor,0.0752,0.061,0.8,0.384,0.622,130.005,4,,Instrumental Album,02:37,2013,April,Monday
"Tyler, The Creator",Rusty (feat. Domo Genesis & Earl Sweatshirt),5AkCXzN890Crr33zlOJACl,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,37,True,0.542,0.669,B,-6.048,Major,0.245,0.00547,0.000193,0.451,0.359,81.85,4,"Domo Genesis, Earl Sweatshirt",Instrumental Album,05:09,2013,April,Monday
"Tyler, The Creator",RUN (feat. Chaz Bundick & ScHoolboy Q),1VZS61kwta2pHVTAXU9uU1,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,38,True,0.411,0.909,B,-5.234,Minor,0.169,0.00178,0.0,0.794,0.473,145.966,4,"Chaz Bundick, ScHoolboy Q",Instrumental Album,01:09,2015,April,Monday
"Tyler, The Creator",Domo23,2vdcmz5DazSCpWma3GQ23l,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,36,True,0.73,0.561,G#/Ab,-5.973,Minor,0.373,0.173,0.0,0.207,0.63,132.99,4,,Instrumental Album,02:38,2013,April,Monday
"Tyler, The Creator",RUN (feat. Chaz Bundick & ScHoolboy Q),1VZS61kwta2pHVTAXU9uU1,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,38,True,0.411,0.909,B,-5.234,Minor,0.169,0.00178,0.0,0.794,0.473,145.966,4,"Chaz Bundick, ScHoolboy Q",Instrumental Album,01:09,2015,April,Monday
"Tyler, The Creator",Domo23,2vdcmz5DazSCpWma3GQ23l,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,36,True,0.73,0.561,G#/Ab,-5.973,Minor,0.373,0.173,0.0,0.207,0.63,132.99,4,,Instrumental Album,02:38,2013,April,Monday
"Tyler, The Creator",FUCKING YOUNG / PERFECT - Instrumental,26jiz9ZZTRxYb0nnuWKyO0,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,32,False,0.286,0.531,F,-6.89,Major,0.0329,0.0112,0.766,0.114,0.106,74.04,4,,Instrumental Album,06:41,2015,April,Monday
"Tyler, The Creator",48 - Instrumental,31bO3sXBncrrSl5stbzGKN,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,30,False,0.714,0.888,B,-5.639,Major,0.0689,0.00341,0.808,0.0692,0.35,119.829,4,,Instrumental Album,04:00,2013,April,Monday
"Tyler, The Creator",Cowboy,1bJ89Tywk8kh9L8lej2nBW,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,38,True,0.552,0.645,C#/Db,-8.901,Major,0.346,0.0549,0.0,0.383,0.654,160.014,4,,Instrumental Album,03:15,2013,April,Monday
"Tyler, The Creator",Her,7wzKTBFNEsWLzu6mYSnGJf,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,28,True,0.802,0.369,C#/Db,-13.218,Minor,0.432,0.00385,0.000101,0.114,0.494,145.834,4,,Studio Album,03:31,2011,May,Monday
"Tyler, The Creator",Bimmer - Instrumental,35wS3SmZ8gD2ty6x3Wbq3r,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,33,False,0.854,0.739,B,-8.051,Major,0.254,0.019,0.886,0.13,0.34,151.964,4,,Instrumental Album,02:26,2013,April,Monday
"Tyler, The Creator",PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean & Laetitia Sadier),10kn8tPNyljdrAGzhaAPSL,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,38,True,0.435,0.564,C#/Db,-9.15,Major,0.207,0.0893,0.0178,0.42,0.116,151.767,4,"Frank Ocean, Laetitia Sadier",Instrumental Album,07:18,2013,April,Monday
"Tyler, The Creator",AU79,48VvSmLKQv4bKkcjtHlVZS,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,20,True,0.499,0.344,F#/Gb,-14.841,Major,0.0495,0.0748,0.717,0.133,0.52,159.965,4,,Studio Album,03:40,2011,May,Monday
"Tyler, The Creator",SMUCKERS - Instrumental,4x9qXC1n1x3v7tg4VD6xep,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,33,False,0.421,0.634,G,-4.972,Major,0.0537,0.00632,0.916,0.114,0.232,155.007,4,,Instrumental Album,05:38,2015,April,Monday
"Tyler, The Creator",WOLF - Instrumental,22LjwEKshG0rIXnbwAefGQ,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,33,False,0.51,0.282,C#/Db,-16.077,Minor,0.0368,0.163,0.857,0.0722,0.154,139.672,3,,Instrumental Album,01:48,2013,April,Monday
"Tyler, The Creator",Jamba - Instrumental,0baPRr8t6ugIBZIS66w8uc,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,30,False,0.839,0.443,G#/Ab,-7.034,Major,0.438,0.00653,0.935,0.0995,0.284,80.06,4,,Instrumental Album,03:20,2013,April,Monday
"Tyler, The Creator",KEEP DA O'S (feat. Pharrell Williams & Coco O.),0YOzUujSDOvSRahyn1Pkeb,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,36,True,0.501,0.596,F#/Gb,-8.444,Major,0.077,0.00814,0.00023,0.0666,0.204,139.929,3,"Pharrell Williams, Coco O.",Instrumental Album,04:08,2015,April,Monday
"Tyler, The Creator",FIND YOUR WINGS - Instrumental,3xLUgT2u1LGSFAI1hFSNJz,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,34,False,0.633,0.328,A,-9.564,Minor,0.0265,0.203,0.543,0.0941,0.206,75.035,4,,Instrumental Album,03:00,2015,April,Monday
